category,ranking,name,brand,price,sale_price,date,rate,id,skin_type,select_1_title,select_1_content,select_2_title,select_2_content,select_3_title,select_3_content,txt
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.07.18,5점만점에 5점,츄츄츄츄츄,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,"복합성 트러블성 피부에 좋아요. 사계절 다 좋고 가벼운데
촉촉하고 흡수 잘되서 좋아요."
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.07.10,5점만점에 5점,Ellak,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,자극 없고 순해서 좋아요. 이거 한번 사용하고 나니 자꾸 이것만 쓰게 되네요 !
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.07.17,5점만점에 5점,다찌모찌,지성에 좋아요,피부타입,지성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,"진짜 5통이상 쓴 찐템입니다•••💙 에스트라 워낙 조아하긴 하는데 얘는 진짜 요물인게 피부결이 조아져요!!
PHA 함유여서 그런지 피부에 각질은 약하게 녹여줘서 쓰면 쓸수록 피부가 맨질해집니다,,,
저는 갠적으로 미스트 용기에 넣어쓰는거 조아해요 ㅎㅎ
또는 파티온 앰플(세럼 아닙니다!!!) + 에스트라 토너 섞어서 거품용기에 넣어서 발라주면 트러블에 직방이예요 ㅎㅎ"
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.06.30,5점만점에 5점,뚠뚜링,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,"에스트라는 진짜 사랑입니다(가격빼고)
로션이링 수분크림 패드 다 에스트라 제품 사용하다가 만족해서 사용하던 토너 다 쓰고 토너도 에스트라 제품으로 구매했습니다.

토너치고 수분감이 좋아서 완전 만족이요!"
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.07.07,5점만점에 4점,jem****,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,보습에 좋아요,자극도,보통이에요,"스킨 대용으로 쓰고 있는데 향은 제 취향은 아닙니다.
아토베리어가 더 잘 맞습니다."
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.05.28,5점만점에 5점,츄츄츄츄츄,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,"복합성 피부인데 촉촉하고 속당김 없고 산뜻하고
보습도 잘돼요. 육아하느라 씻도 제대로 바르지도 못하는데 바쁠 때 토너 하나만 발라도 안 당겨요!"
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.06.18,5점만점에 5점,팽이버섯버섯,건성에 좋아요,피부타입,건성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,"4통째 쓰는 중이에요
나비존 요철이 고민이라 여러 방법 써봤는데 이 토너 쓰고 각질이 정리돼서 그런지 두드러지던 게 많이 완화됐어요!
화장했을 때 파우더처리를 해도 잘 보이던게 이젠 파우더 처리만 하면 안 보입니다! 아마 계속 재구매 할 것 같아요 :)"
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.06.07,5점만점에 5점,Ellak,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,민감성 피부인데 아스트라는 괜찮네요. 순하고 촉촉해서 좋아요 !
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.06.04,5점만점에 5점,경밍잉,지성에 좋아요,피부타입,지성에 좋아요,피부고민,진정에 좋아요,자극도,자극없이 순해요,메이크업 전에 패드로 결정리하고 이 토너로 두세번 레이어링하고 크림 바르면 화장 잘 먹어서 좋아요 ㅎㅎ 저녁엔 좀 가벼운 느낌이 있고 지성엔 약간 유분도 있는 느낌이라 주로 아침에 바릅니당 ㅎㅎ
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.07.05,5점만점에 5점,cas****,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,보통이에요,두번째 사용중입니다. 무난하게 사용하기 좋아요. 사계절 내내 좋은거 같아요
스킨/토너,0,에스트라 에이시카365 수분진정결토너 250ml,에스트라,"30,000","25,500",2024.05.26,5점만점에 3점,jem****,복합성에 좋아요,피부타입,복합성에 좋아요,피부고민,진정에 좋아요,자극도,보통이에요,"민감한피부라서 닦아내지는 않고
스킨대용으로 사용하고 있습니다."
